Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022

Aruba,ABW,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Africa Eastern and Southern,AFE,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Afghanistan,AFG,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Africa Western and Central,AFW,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Angola,AGO,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,108,0,0,0,

Albania,ALB,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,120,238,391,0,386,0,0,0,361,0,8,0,4,3,5,5,8,3,1,0,0,0,

Andorra,AND,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,12,5,0,0,

Arab World,ARB,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

United Arab Emirates,ARE,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,1318,1327,1402,1438,1714,1642,1733,1723,1843,1869,0,0,

Argentina,ARG,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063,3321,2793,2443,2656,0,0,0,0,0,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,4336,4165,4133,4078,4129,4173,3579,2925,3050,3242,3260,2562,0,0,

Armenia,ARM,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,79,98,154,121,8,16,8,15,7,6,0,2,1,5,4,11,6,19,4,6,2,2,1,3,4,4,7,0,0,

American Samoa,ASM,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Antigua and Barbuda,ATG,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,15,10,12,8,5,0,0,0,0,

Australia,AUS,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9354,9807,9572,9529,10212,0,0,0,0,0,0,0,0,0,0,12277,13221,15398,16063,17960,20073,20548,20181,19176,20274,21302,23166,24122,23525,21187,22478,23143,23731,26656,23968,26314,25774,26403,27200,27121,26926,0,0,

Austria,AUT,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4166,3428,2620,2322,1891,1591,1336,1272,1048,915,670,544,517,513,516,458,449,397,349,341,340,284,329,213,266,235,378,287,329,292,249,276,294,244,271,236,237,232,168,208,173,0,0,

Azerbaijan,AZE,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,0,0,0,10,7,18,7,6,13,8,7,17,17,12,0,0,0,0,19,22,16,20,18,0,0,

Burundi,BDI,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,2,7,0,2,0,0,1,3,0,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,15,5,0,0,

Belgium,BEL,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5104,3918,2944,2261,1966,1476,1334,889,776,663,613,574,499,679,446,355,310,269,249,249,243,264,147,188,122,105,161,163,133,148,140,127,127,161,137,148,119,216,218,257,288,0,0,

Benin,BEN,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Burkina Faso,BFA,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Bangladesh,BGD,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,133,104,123,104,96,77,98,109,76,76,77,89,71,89,156,131,119,184,200,248,236,246,260,268,294,288,270,278,275,276,269,287,243,249,299,267,241,299,345,362,0,0,

Bulgaria,BGR,Patent applications - nonresidents,IP.PAT.NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,871,717,728,738,248,211,311,253,267,331,326,351,152,531,363,407,538,524,616,709,785,735,680,133,52,48,28,22,24,17,21,14,15,16,11,11,23,18,7,7,0,0,

